,cell_type,gbar_Im,gbar_Ih,gbar_NaTs,gbar_Nap,gbar_K_P,gbar_K_T,gbar_SK,gbar_Kv3_1,gbar_Ca_HVA,gbar_Ca_LVA,gamma_CaDynamics,decay_CaDynamics,soma_g_pas,axon_g_pas,dend_g_pas,apic_g_pas,gbar_NaV,gbar_Kd,gbar_Kv2like,gbar_Im_v2,cre_line,dendrite_type
1978,False,0.0021983628686262024,0.00024105026970218632,1.076406569663862,9.387771401085144e-05,0.010772818866623068,0.002430387465865325,0.03312950919873782,0.4950871705570947,1.2636332133164619e-08,0.004042988339757674,0.0029286239151867788,289.59451901430657,2.607822239532772e-05,0.000772912263496696,1.006987872026016e-07,,,,,,Sst-IRES-Cre,sparsely spiny
1979,False,,,,,,,,,,,,,,,,,,,,,Human,spiny
1980,False,,,,,,,,,,,,,,,,,,,,,Rorb-IRES2-Cre,spiny
1981,False,,,,,,,,,,,,,,,,,,,,,Htr3a-Cre_NO152,aspiny
1982,False,,,,,,,,,,,,,,,,,,,,,Pvalb-IRES-Cre,aspiny
1983,Scnn1a-Tg3-Cre__L4__exc,1.581496361501133e-05,0.0004769381259912297,0.7233111245627541,1.5182188679699341e-06,0.038242186111313775,0.00551754369336583,0.0009533475895187328,0.11843435594266605,1.825226555617921e-05,1.8366331300320731e-06,0.026168675596953902,631.7325142819416,0.0006848781346049206,0.000838289925728457,1.0079447302955784e-07,1.903870922151489e-05,,,,,Scnn1a-Tg3-Cre,spiny
1984,False,,,,,,,,,,,,,,,,,,,,,Human,aspiny
1985,False,,,,,,,,,,,,,,,,,,,,,Scnn1a-Tg3-Cre,spiny
1986,False,,,,,,,,,,,,,,,,,,,,,Rorb-IRES2-Cre,spiny
1987,False,,,,,,,,,,,,,,,,,,,,,Nr5a1-Cre,spiny
