,gbar_Im,gbar_Ih,gbar_NaTs,gbar_Nap,gbar_K_P,gbar_K_T,gbar_SK,gbar_Kv3_1,gbar_Ca_HVA,gbar_Ca_LVA,gamma_CaDynamics,decay_CaDynamics,soma_g_pas,axon_g_pas,dend_g_pas,apic_g_pas,gbar_NaV,gbar_Kd,gbar_Kv2like,gbar_Im_v2
Htr3a-Cre_NO152__L1__inh,,2.6424965762772425e-08,,,,2.987296005896312e-06,3.398848043290048e-13,0.04580350556179515,1.819265062256159e-07,0.004463811116814547,0.001664973814380647,799.1923570663125,0.0007565490787887277,0.0005456844010576595,0.0009144133525749166,,0.06062467009418108,1.1552615378218613e-07,3.4832887024216493e-06,0.002277315412423253
Pvalb-IRES-Cre__L4__inh,,0.0013454803489209046,,,,0.04826385583416082,0.019853768911782557,1.1212459226154838,0.0003980945352760466,0.002339571788321427,0.009650023129978584,208.96757649938277,0.0002587489042714719,7.901302571049539e-05,6.338483988876474e-05,,0.06869453713985198,0.00017819117065524554,0.03315579453917829,0.003097662531359803
Rbp4-Cre_KL100__L4__exc,0.009215765253475713,0.0001660370905936089,0.7846561336425013,0.001693505739934232,0.019061372804030124,0.0008261096000234551,0.03374687817594399,0.1906759220690016,0.0006130620406254002,0.007279007531973657,0.009552942549998363,478.51779455845343,0.0006374927296901364,0.0003994281466485362,1.6854081898138182e-05,0.00021914509472554196,,,,
Cux2-CreERT2__L4__exc,0.001720215768385691,0.0001266273774156856,1.2703806083746343,0.00042225434299515376,0.023582504960105066,0.005430911285428687,0.00782091406243607,0.13268238027882756,0.00027047051795876657,0.0026087165127260674,0.010187243244259419,674.4548610638858,0.000474662415205219,0.0003714942603496499,7.156874140284881e-05,6.647228945405202e-05,0.3454666405050197,0.013228923614110908,2.128697396767184e-06,0.009900756980442715
Pvalb-IRES-Cre__L2/3__inh,,0.0003826630666065843,,,,0.08797051969881978,0.014407632882386945,0.6933117129540817,0.00036363961064419213,0.007190846045829237,0.016836121612418244,210.8222667234583,0.00037487106862798446,0.0006095664367756958,1.6102611492216996e-05,,0.054621564823201574,1.0666818870223262e-06,0.07686601273333668,0.0028771005918710323
Htr3a-Cre_NO152__L5__inh,0.009812019912446436,0.00018532701294470054,0.6705282223106995,6.045609537430607e-08,0.0027305125012029308,0.03955526602351368,0.0006433537703473112,0.6386037876519687,0.000618581091425536,0.0033958341855034623,0.018486883897347355,777.7843613193463,0.000278400432285248,0.00019456624396635793,1.8676274243754227e-05,,0.07613491152835468,8.568232027812869e-06,0.01674844972414942,0.0064071137708877415
Pvalb-IRES-Cre__L6__inh,,0.0006378304875530885,,,,0.04390856765579856,5.2312907915248384e-05,1.2507790005131003,0.0005923494453624512,0.008152837463672211,0.013223974123011812,533.3874175901655,0.00018374706336873458,0.0002576433322527859,1.1311279646537561e-07,,0.09583527357177223,0.0008221329885868382,0.011585590752975588,0.0015766556622936034
Pvalb-IRES-Cre__L5__inh,,0.0004812231580076848,,,,0.03125011421627187,0.02428651832776514,1.2667717946758559,0.0005746665747109557,0.004233757903965889,0.014759628290004715,394.6001368416995,0.00020322013291340472,0.00045609236317567883,6.273015693858756e-05,,0.054170414800811674,7.419429775838344e-05,0.09807557347654416,0.002606448466970811
Ntsr1-Cre_GN220__L6__exc,0.0007340987535665933,0.000135848140030469,0.7683000284163364,0.0001020900170912296,0.03485229373033462,0.010717810157717255,0.04439374517998908,0.14960081771511397,0.0005677767469627533,0.003237572030718277,0.0007617445155652168,515.2381478090429,0.000587915468259596,0.0003426921263203481,3.733652319250292e-05,1.998936394599915e-05,,,,
Sst-IRES-Cre__L2/3__inh,,0.0013609330956307886,,,,0.02798489515225032,0.0021557500409750273,0.2617966095664396,0.0005813017604017367,0.004236234098769972,0.01523939312541276,366.65289083151873,0.0004972206620083129,0.0006749104903715102,0.00014404548411203354,,0.06612631566907677,4.5721632723235753e-07,0.04120451313082693,0.0016115557828922302
